C:\Users\guiga004\AppData\Local\Programs\Python\Python37-32\python.exe C:/Users/guiga004/PycharmProjects/CSCI4511W/testing.py

********** dj38 testing **********


***** Genetic Algorithm *****

Initial distance: 24848.330585695556
Final distance: 9730.009220544043

Genetic Algorithm Run Time:  24.47392773628235  seconds


***** Ant Colony Algorithm *****

 > iteration #1; best=6767
 > iteration #2; best=6767
 > iteration #3; best=6766
 > iteration #4; best=6766
 > iteration #5; best=6766
 > iteration #6; best=6766
 > iteration #7; best=6766
 > iteration #8; best=6766
 > iteration #9; best=6766
 > iteration #10; best=6766
 > iteration #11; best=6766
 > iteration #12; best=6741
 > iteration #13; best=6741
 > iteration #14; best=6741
 > iteration #15; best=6741
 > iteration #16; best=6741
 > iteration #17; best=6741
 > iteration #18; best=6672
 > iteration #19; best=6672
 > iteration #20; best=6672
 > iteration #21; best=6672
 > iteration #22; best=6672
 > iteration #23; best=6672
 > iteration #24; best=6672
 > iteration #25; best=6672
 > iteration #26; best=6672
 > iteration #27; best=6672
 > iteration #28; best=6672
 > iteration #29; best=6672
 > iteration #30; best=6672
 > iteration #31; best=6672
 > iteration #32; best=6672
 > iteration #33; best=6672
 > iteration #34; best=6672
 > iteration #35; best=6672
 > iteration #36; best=6672
 > iteration #37; best=6672
 > iteration #38; best=6672
 > iteration #39; best=6672
 > iteration #40; best=6672
 > iteration #41; best=6672
 > iteration #42; best=6672
 > iteration #43; best=6672
 > iteration #44; best=6672
 > iteration #45; best=6669
 > iteration #46; best=6669
 > iteration #47; best=6669
 > iteration #48; best=6669
 > iteration #49; best=6669
 > iteration #50; best=6669
 > iteration #51; best=6669
 > iteration #52; best=6669
 > iteration #53; best=6669
 > iteration #54; best=6669
 > iteration #55; best=6669
 > iteration #56; best=6669
 > iteration #57; best=6669
 > iteration #58; best=6669
 > iteration #59; best=6669
 > iteration #60; best=6669
 > iteration #61; best=6669
 > iteration #62; best=6669
 > iteration #63; best=6669
 > iteration #64; best=6661
 > iteration #65; best=6661
 > iteration #66; best=6661
 > iteration #67; best=6661
 > iteration #68; best=6661
 > iteration #69; best=6661
 > iteration #70; best=6661
 > iteration #71; best=6661
 > iteration #72; best=6661
 > iteration #73; best=6661
 > iteration #74; best=6661
 > iteration #75; best=6661
 > iteration #76; best=6661
 > iteration #77; best=6661
 > iteration #78; best=6661
 > iteration #79; best=6661
 > iteration #80; best=6661
 > iteration #81; best=6661
 > iteration #82; best=6661
 > iteration #83; best=6661
 > iteration #84; best=6661
 > iteration #85; best=6661
 > iteration #86; best=6661
 > iteration #87; best=6661
 > iteration #88; best=6661
 > iteration #89; best=6661
 > iteration #90; best=6661
 > iteration #91; best=6661
 > iteration #92; best=6661
 > iteration #93; best=6661
 > iteration #94; best=6661
 > iteration #95; best=6661
 > iteration #96; best=6661
 > iteration #97; best=6661
 > iteration #98; best=6661
 > iteration #99; best=6661
 > iteration #100; best=6661

Ant Colony Run Time:  6.126839876174927  seconds

Done. Best Solution: c=6661 v=[15, 16, 17, 18, 11, 10, 8, 7, 6, 5, 4, 2, 3, 1, 0, 9, 13, 20, 28, 29, 31, 34, 36, 37, 32, 33, 35, 30, 26, 27, 23, 21, 24, 25, 22, 19, 14, 12]

Process finished with exit code 0
