C:\Users\guiga004\AppData\Local\Programs\Python\Python37-32\python.exe C:/Users/guiga004/PycharmProjects/CSCI4511W/testing.py

********** qa194 testing **********


***** Genetic Algorithm *****

Initial distance: 85941.49652884557
Final distance: 71308.77807584904

Genetic Algorithm Run Time:  57.0412917137146  seconds


***** Ant Colony Algorithm *****

 > iteration #1; best=12722
 > iteration #2; best=11708
 > iteration #3; best=11708
 > iteration #4; best=11708
 > iteration #5; best=11708
 > iteration #6; best=11708
 > iteration #7; best=11708
 > iteration #8; best=11708
 > iteration #9; best=11708
 > iteration #10; best=11708
 > iteration #11; best=11708
 > iteration #12; best=11708
 > iteration #13; best=11708
 > iteration #14; best=11708
 > iteration #15; best=11708
 > iteration #16; best=11708
 > iteration #17; best=11708
 > iteration #18; best=11586
 > iteration #19; best=11586
 > iteration #20; best=11586
 > iteration #21; best=11586
 > iteration #22; best=11586
 > iteration #23; best=11586
 > iteration #24; best=11586
 > iteration #25; best=11586
 > iteration #26; best=11586
 > iteration #27; best=11319
 > iteration #28; best=11319
 > iteration #29; best=11319
 > iteration #30; best=11319
 > iteration #31; best=11319
 > iteration #32; best=11319
 > iteration #33; best=11319
 > iteration #34; best=11319
 > iteration #35; best=11319
 > iteration #36; best=10941
 > iteration #37; best=10941
 > iteration #38; best=10941
 > iteration #39; best=10941
 > iteration #40; best=10941
 > iteration #41; best=10941
 > iteration #42; best=10941
 > iteration #43; best=10941
 > iteration #44; best=10941
 > iteration #45; best=10941
 > iteration #46; best=10941
 > iteration #47; best=10941
 > iteration #48; best=10941
 > iteration #49; best=10941
 > iteration #50; best=10941
 > iteration #51; best=10941
 > iteration #52; best=10941
 > iteration #53; best=10941
 > iteration #54; best=10941
 > iteration #55; best=10941
 > iteration #56; best=10941
 > iteration #57; best=10941
 > iteration #58; best=10941
 > iteration #59; best=10941
 > iteration #60; best=10941
 > iteration #61; best=10941
 > iteration #62; best=10941
 > iteration #63; best=10941
 > iteration #64; best=10941
 > iteration #65; best=10941
 > iteration #66; best=10941
 > iteration #67; best=10941
 > iteration #68; best=10941
 > iteration #69; best=10941
 > iteration #70; best=10941
 > iteration #71; best=10941
 > iteration #72; best=10941
 > iteration #73; best=10941
 > iteration #74; best=10941
 > iteration #75; best=10941
 > iteration #76; best=10941
 > iteration #77; best=10941
 > iteration #78; best=10941
 > iteration #79; best=10941
 > iteration #80; best=10941
 > iteration #81; best=10941
 > iteration #82; best=10941
 > iteration #83; best=10941
 > iteration #84; best=10941
 > iteration #85; best=10941
 > iteration #86; best=10941
 > iteration #87; best=10941
 > iteration #88; best=10941
 > iteration #89; best=10941
 > iteration #90; best=10941
 > iteration #91; best=10941
 > iteration #92; best=10941
 > iteration #93; best=10941
 > iteration #94; best=10941
 > iteration #95; best=10941
 > iteration #96; best=10941
 > iteration #97; best=10941
 > iteration #98; best=10941
 > iteration #99; best=10941
 > iteration #100; best=10941

Ant Colony Run Time:  216.96190643310547  seconds

Done. Best Solution: c=10941 v=[7, 5, 15, 12, 13, 10, 16, 23, 25, 20, 17, 32, 27, 21, 47, 51, 52, 53, 45, 40, 37, 39, 42, 55, 57, 46, 50, 38, 33, 30, 31, 29, 34, 41, 43, 48, 54, 49, 60, 66, 65, 72, 67, 63, 69, 76, 78, 80, 82, 87, 91, 94, 95, 92, 96, 104, 105, 106, 107, 109, 111, 114, 115, 116, 120, 119, 154, 150, 157, 161, 166, 169, 170, 165, 159, 147, 142, 134, 128, 132, 127, 122, 123, 135, 130, 117, 121, 118, 112, 108, 113, 124, 125, 126, 131, 133, 136, 139, 144, 148, 145, 141, 137, 138, 143, 149, 152, 156, 153, 151, 146, 140, 158, 164, 167, 177, 179, 184, 192, 190, 188, 191, 187, 183, 180, 176, 174, 172, 173, 178, 171, 168, 175, 181, 185, 182, 186, 189, 193, 163, 162, 160, 155, 129, 110, 103, 100, 98, 93, 88, 89, 97, 85, 84, 64, 19, 62, 35, 58, 61, 81, 75, 74, 77, 71, 73, 68, 59, 56, 44, 28, 36, 26, 11, 9, 8, 4, 14, 18, 83, 99, 90, 102, 101, 86, 79, 70, 24, 22, 6, 3, 1, 2, 0]

Process finished with exit code 0
